,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
1091,Home/Electronics/Power/,16990000,361,469,55,0,11.73,0.0,0.0,224.3,136.0
1092,Home/Electronics/Power/,18390000,25,29,5,0,17.24,0.0,0.0,36.5,
1093,Home/Electronics/Power/,22990000,187,247,25,0,10.12,0.0,0.0,44.6,1456.5
1094,Home/Electronics/Power/,30390000,21,31,6,0,19.35,0.0,0.0,-96.0,
1095,Home/Electronics/Power/,37990000,147,169,19,0,11.24,0.0,0.0,-4.0,618.0
1096,Home/Electronics/Power/,44790000,37,44,1,0,2.27,0.0,0.0,,
1097,Home/Electronics/Power/,47190000,48,55,3,0,5.45,0.0,0.0,-585.5,
1098,Home/Electronics/Power/,47990000,23,31,2,0,6.45,0.0,0.0,2.0,
1099,Home/Electronics/Power/,55990000,415,522,26,0,4.98,0.0,0.0,238.75,769.0
1100,Home/Electronics/Power/,58990000,452,553,43,0,7.78,0.0,0.0,155.57,855.0
1101,Home/Electronics/Power/,59990000,240,309,11,0,3.56,0.0,0.0,215.0,
1102,Home/Electronics/Power/,61590000,8,8,2,0,25.0,0.0,0.0,,
1103,Home/Electronics/Power/,76990000,140,206,10,0,4.85,0.0,0.0,335.6,
1104,Home/Gift Cards/,25000000,139,226,99,0,43.81,0.0,0.0,64.07,321.71
1105,Home/Gift Cards/,50000000,84,138,23,0,16.67,0.0,0.0,70.55,303.0
1106,Home/Gift Cards/,100000000,158,265,38,0,14.34,0.0,0.0,33.35,371.67
1107,Home/Gift Cards/,250000000,82,188,31,0,16.49,0.0,0.0,46.06,285.0
1108,Home/Office/,790000,5,5,5,0,100.0,0.0,0.0,15.0,519.0
1109,Home/Office/,990000,149,184,95,0,51.63,0.0,0.0,59.88,1280.0
1110,Home/Office/,1000000,2,2,2,0,100.0,0.0,0.0,-30.0,
1111,Home/Office/,1200000,8,8,3,0,37.5,0.0,0.0,259.0,
1112,Home/Office/,1250000,54,56,31,0,55.36,0.0,0.0,241.6,1380.0
1113,Home/Office/,1500000,149,197,32,0,16.24,0.0,0.0,-15.56,728.0
1114,Home/Office/,1590000,16,18,14,0,77.78,0.0,0.0,70.0,1762.0
1115,Home/Office/,1990000,216,270,83,0,30.74,0.0,0.0,74.15,680.5
1116,Home/Office/,2000000,3,3,2,0,66.67,0.0,0.0,13.0,858.0
1117,Home/Office/,2390000,20,22,14,0,63.64,0.0,0.0,-42.5,1286.0
1118,Home/Office/,2500000,58,64,25,0,39.06,0.0,0.0,65.92,181.0
1119,Home/Office/,2990000,359,470,232,0,49.36,0.0,0.0,13.34,795.75
1120,Home/Office/,3190000,11,12,5,0,41.67,0.0,0.0,-115.67,1182.0
1121,Home/Office/,3990000,191,223,75,0,33.63,0.0,0.0,-32.39,801.0
1122,Home/Office/,4400000,5,5,1,0,20.0,0.0,0.0,,
1123,Home/Office/,4990000,112,136,46,0,33.82,0.0,0.0,73.67,536.5
1124,Home/Office/,5500000,149,175,44,0,25.14,0.0,0.0,47.73,1327.2
1125,Home/Office/,5990000,10,15,5,0,33.33,0.0,0.0,57.0,
1126,Home/Office/,6990000,1,2,0,0,0.0,,0.0,,
1127,Home/Office/,7990000,8,8,2,0,25.0,0.0,0.0,-91.5,
1128,Home/Office/,9590000,5,5,2,0,40.0,0.0,0.0,,
1129,Home/Office/,9990000,116,166,31,0,18.67,0.0,0.0,102.16,1095.0
1130,Home/Office/,10990000,1,1,0,0,0.0,,0.0,,
1131,Home/Office/,11990000,94,113,4,0,3.54,0.0,0.0,26.86,
1132,Home/Office/,14390000,2,2,0,0,0.0,,0.0,,
1133,Home/Office/,14990000,10,10,1,0,10.0,0.0,0.0,3.0,
1134,Home/Office/,15990000,1,2,0,0,0.0,,0.0,,
1135,Home/Office/,17590000,2,2,0,0,0.0,,0.0,,
1136,Home/Office/,17990000,36,45,12,0,26.67,0.0,0.0,-4.33,
1137,Home/Office/,19990000,32,35,0,0,0.0,,0.0,,
1138,Home/Office/,21990000,67,85,4,0,4.71,0.0,0.0,341.14,
1139,Home/Office/,23190000,1,1,1,0,100.0,0.0,0.0,8.0,833.0
1140,Home/Office/,23990000,1,1,0,0,0.0,,0.0,,
1141,Home/Office/,28990000,59,76,9,0,11.84,0.0,0.0,10.5,3332.0
1142,Home/Office/,39990000,12,18,0,0,0.0,,0.0,53.67,
1143,Home/Office/,44990000,1,1,0,0,0.0,,0.0,,
1144,Home/Office/,79990000,4,4,0,0,0.0,,0.0,88.0,
